retailer_id,business_name,owner_name,owner_gender,owner_age,phone_number,email,shop_type,state,urbanization_level,latitude,longitude,years_in_business,months_in_business,num_employees,has_business_registration,mobile_money_pattern,monthly_mobile_money_txns,credit_segment,credit_limit,is_defaulter,onboarding_date,account_status
RTL_000035,Gabriel's Provisions,Gabriel Ojo,Female,56,08059118384,gabriel.ojo@gmail.com,Provision Store,Kano,Rural,12.344319,8.930329,1,16,1,False,Light User,9,High Risk,29860,False,2024-07-10,Active
RTL_000036,Elizabeth's Mart,Elizabeth Adetokunbo,Male,34,09071354278,elizabeth.adetokunbo@outlook.com,Kiosk,FCT,Urban,8.817585,7.103645,4,48,1,True,Regular User,17,Moderate Risk,174454,False,2025-01-30,Active
RTL_000037,Agnes's Mart,Agnes Balogun,Male,38,08058084124,agnes.balogun@gmail.com,Mini Mart,Lagos,Rural,6.992374,2.967608,16,198,4,False,Light User,5,Good,309494,False,2024-12-23,Active
RTL_000038,Daniel's Store,Daniel Akinwale,Female,45,08118244935,daniel.akinwale@gmail.com,Provision Store,Kano,Urban,12.406359,8.440255,15,191,1,True,Regular User,13,Excellent,717623,False,2024-08-07,Active
RTL_000039,Grace's Mart,Grace Chukwu,Female,44,08037401640,grace.chukwu@gmail.com,Kiosk,Oyo,Urban,7.559131,4.00965,23,286,1,True,Heavy User,22,Fair,251570,False,2025-01-29,Active
RTL_000040,Deborah's Mart,Deborah Obi,Female,22,08152427868,deborah.obi@gmail.com,Kiosk,Lagos,Urban,6.30299,3.05621,2,32,1,False,Heavy User,32,Fair,173624,False,2024-09-24,Active
RTL_000041,John's Store,John Balogun,Female,56,08062805982,john.balogun@yahoo.com,Mini Mart,Anambra,Rural,5.781978,6.836478,20,247,3,False,Regular User,17,Fair,297820,False,2025-01-30,Active
RTL_000042,Gloria's Shop,Gloria Chukwu,Male,56,08034505331,gloria.chukwu@yahoo.com,Provision Store,Delta,Peri-Urban,5.712413,5.515172,19,236,2,True,Regular User,10,Excellent,495462,False,2025-04-08,Active
RTL_000043,Gloria's Ventures,Gloria Oyekan,Male,43,09076923226,gloria.oyekan@gmail.com,Kiosk,Oyo,Peri-Urban,8.139171,3.928442,2,31,1,False,Regular User,14,Excellent,594053,False,2025-01-04,Active
RTL_000044,Paul's Shop,Paul Nnamani,Female,25,08115634216,paul.nnamani@gmail.com,Kiosk,Others,Peri-Urban,8.819227,8.277082,5,67,2,True,Regular User,17,Good,254324,False,2025-05-28,Active
RTL_000045,Peace's Provisions,Peace Ibrahim,Female,23,08133754330,peace.ibrahim@outlook.com,Mini Mart,Delta,Urban,6.155367,5.898749,3,46,3,True,Light User,8,High Risk,50105,False,2025-03-07,Active
RTL_000046,Angela's Shop,Angela Ogunleye,Male,57,07035414586,angela.ogunleye@outlook.com,Provision Store,Rivers,Peri-Urban,5.08338,6.63709,13,166,2,False,Regular User,14,Fair,237958,False,2025-02-15,Active
RTL_000047,Emmanuel's Ventures,Emmanuel Chukwu,Male,56,08160142940,emmanuel.chukwu@gmail.com,Provision Store,Lagos,Peri-Urban,6.784628,3.474839,17,208,3,False,Heavy User,30,High Risk,90792,False,2025-04-18,Active
RTL_000048,Cornelius's Ventures,Cornelius Okafor,Male,56,07035569816,cornelius.okafor@outlook.com,Mini Mart,Lagos,Peri-Urban,6.852341,3.629702,21,256,4,False,Regular User,13,Good,398056,False,2024-11-08,Active
RTL_000049,Benjamin's Shop,Benjamin Obasanjo,Female,54,08140608835,benjamin.obasanjo@yahoo.com,Provision Store,Kaduna,Rural,10.634602,7.456281,17,204,1,False,Heavy User,27,Good,385090,False,2025-05-25,Active
RTL_000050,Michael's Store,Michael Oshodi,Male,60,08075951484,michael.oshodi@outlook.com,Provision Store,Lagos,Urban,6.818425,3.499273,4,53,2,False,Light User,3,Excellent,729923,False,2025-04-08,Active
RTL_000051,Peace's Provisions,Peace Eze,Male,36,08166482366,peace.eze@outlook.com,Provision Store,Lagos,Peri-Urban,6.403222,3.3362,8,100,2,False,Light User,5,Fair,297550,False,2025-03-10,Active
RTL_000052,Charity's Shop,Charity Akinwale,Female,47,08059468044,charity.akinwale@gmail.com,Provision Store,Lagos,Urban,6.932851,3.462592,14,178,1,True,Regular User,18,Fair,296400,False,2025-03-14,Active
RTL_000053,Mark's Provisions,Mark Ibrahim,Female,52,08159957773,mark.ibrahim@outlook.com,Mini Mart,Delta,Peri-Urban,5.203323,6.059367,9,113,2,True,Light User,5,Fair,294790,False,2024-10-19,Active
RTL_000054,Andrew's Provisions,Andrew Akinwale,Male,42,08152148951,andrew.akinwale@gmail.com,Provision Store,Lagos,Rural,6.894296,3.398038,15,188,2,True,Light User,4,Excellent,413224,False,2024-09-15,Active
RTL_000055,Cornelius's Mart,Cornelius Adetokunbo,Male,45,08133200379,cornelius.adetokunbo@gmail.com,Kiosk,Lagos,Urban,6.761901,3.331418,7,87,1,False,Regular User,15,Good,269097,False,2025-01-28,Active
RTL_000056,Esther's Provisions,Esther Ibrahim,Male,28,07039367632,esther.ibrahim@outlook.com,Kiosk,Kano,Peri-Urban,12.362832,8.62707,1,18,1,False,Regular User,10,Excellent,617516,False,2024-09-20,Active
RTL_000057,Daniel's Store,Daniel Okafor,Female,25,09071632870,daniel.okafor@outlook.com,Provision Store,Kaduna,Peri-Urban,10.544956,7.397588,1,19,3,False,Regular User,19,Fair,281026,False,2025-01-22,Active
RTL_000058,David's Shop,David Ogunleye,Female,29,09071727889,david.ogunleye@yahoo.com,Kiosk,Kaduna,Peri-Urban,10.037596,7.138472,9,116,1,True,Regular User,17,Good,314929,False,2024-09-15,Active
RTL_000059,Ruth's Provisions,Ruth Akinwale,Male,39,08058687277,ruth.akinwale@yahoo.com,Kiosk,Anambra,Urban,6.388985,6.764584,7,93,1,True,Heavy User,38,Excellent,544931,False,2024-09-21,Active
RTL_000060,Ruth's Shop,Ruth Okafor,Male,26,09054873471,ruth.okafor@outlook.com,Kiosk,Lagos,Urban,6.404092,3.469495,5,65,1,True,Light User,5,Good,370307,False,2024-07-26,Active
RTL_000061,David's Mart,David Adeyemi,Female,30,08134558122,david.adeyemi@gmail.com,Provision Store,Others,Peri-Urban,8.764107,8.660078,8,97,2,True,Heavy User,30,Fair,201693,False,2025-06-29,Active
RTL_000062,David's Provisions,David Adeyemi,Male,55,08112316658,david.adeyemi@yahoo.com,Provision Store,Kaduna,Rural,10.540162,7.731554,17,208,2,False,Heavy User,29,Excellent,416725,False,2025-06-06,Active
RTL_000063,David's Provisions,David Ibrahim,Female,49,08033669096,david.ibrahim@yahoo.com,Provision Store,Oyo,Peri-Urban,7.525371,4.344412,14,169,1,False,Heavy User,23,Moderate Risk,103276,False,2025-02-04,Active
RTL_000064,Nathaniel's Store,Nathaniel Oshodi,Male,43,08164668893,nathaniel.oshodi@yahoo.com,Superette,FCT,Peri-Urban,9.525807,7.295249,5,67,2,True,Regular User,12,Fair,313059,False,2024-07-31,Active
RTL_000065,Peace's Shop,Peace Eze,Female,64,08146706562,peace.eze@yahoo.com,Provision Store,FCT,Urban,8.651638,7.626789,8,105,2,True,Heavy User,31,Good,487739,False,2025-03-23,Active
RTL_000066,Benjamin's Shop,Benjamin Oshodi,Female,37,08058069901,benjamin.oshodi@outlook.com,Kiosk,Delta,Urban,6.130537,5.854006,17,206,1,False,Regular User,15,Good,355423,False,2024-12-17,Active
RTL_000067,Philip's Provisions,Philip Chukwu,Male,38,08107204653,philip.chukwu@yahoo.com,Provision Store,Kaduna,Urban,10.680417,6.960665,18,225,2,False,Heavy User,26,High Risk,89768,False,2025-01-08,Active
RTL_000068,Deborah's Mart,Deborah Nnamani,Male,35,08166464170,deborah.nnamani@outlook.com,Provision Store,FCT,Urban,9.031644,7.421035,15,182,2,True,Light User,5,Excellent,534055,False,2025-01-01,Active
RTL_000069,Sarah's Ventures,Sarah Ekwueme,Male,23,08035310033,sarah.ekwueme@gmail.com,Provision Store,Rivers,Peri-Urban,5.053456,7.069968,3,38,3,True,Light User,7,Good,476577,False,2025-03-29,Active
RTL_000070,Joseph's Ventures,Joseph Adeyemi,Female,31,08103271937,joseph.adeyemi@outlook.com,Market Stall,FCT,Urban,9.056376,7.526105,7,87,1,True,Heavy User,33,Fair,174951,False,2025-01-26,Active
RTL_000071,Grace's Mart,Grace Chukwu,Female,25,08155299124,grace.chukwu@gmail.com,Kiosk,Lagos,Rural,6.069501,2.988668,5,70,2,False,Heavy User,25,Moderate Risk,181878,False,2024-08-18,Active
RTL_000072,Philip's Ventures,Philip Abiola,Female,31,08034966319,philip.abiola@outlook.com,Provision Store,Lagos,Rural,6.256072,3.821932,11,133,1,True,Non-User,1,Moderate Risk,168533,False,2025-06-28,Active
RTL_000073,James's Shop,James Ojo,Male,38,08064919058,james.ojo@yahoo.com,Mini Mart,Edo,Rural,6.008895,5.499942,18,218,4,True,Heavy User,34,Excellent,722648,False,2024-08-08,Active
RTL_000074,Nathaniel's Mart,Nathaniel Ekwueme,Female,63,08068506716,nathaniel.ekwueme@yahoo.com,Market Stall,Kano,Urban,11.978877,8.136377,9,115,2,False,Regular User,15,Moderate Risk,185044,False,2025-01-08,Active
RTL_000075,David's Provisions,David Ekwueme,Female,50,08112628498,david.ekwueme@yahoo.com,Provision Store,Kaduna,Urban,10.861707,7.411647,19,237,2,True,Regular User,10,Good,374165,False,2024-11-29,Active
RTL_000076,Samuel's Provisions,Samuel Akinwale,Male,48,07039453147,samuel.akinwale@gmail.com,Provision Store,Anambra,Peri-Urban,6.557913,7.257071,6,83,1,False,Light User,5,Fair,335374,False,2025-06-10,Active
RTL_000077,Michael's Provisions,Michael Okafor,Female,23,08059650752,michael.okafor@yahoo.com,Kiosk,Delta,Urban,5.736482,6.164636,3,46,2,True,Regular User,17,Excellent,725996,False,2025-01-21,Active
RTL_000078,Sarah's Shop,Sarah Oshodi,Female,43,08164549480,sarah.oshodi@outlook.com,Mini Mart,Kano,Rural,11.894351,8.271497,4,51,3,True,Regular User,10,Excellent,726032,False,2024-12-22,Active
RTL_000079,Andrew's Shop,Andrew Adetokunbo,Male,33,08063678377,andrew.adetokunbo@yahoo.com,Provision Store,Others,Peri-Urban,9.027958,8.822874,7,94,3,False,Light User,5,Excellent,691385,False,2025-06-07,Active
RTL_000080,Gabriel's Store,Gabriel Adetokunbo,Male,53,08064363495,gabriel.adetokunbo@yahoo.com,Kiosk,Lagos,Rural,6.551424,3.705121,2,27,1,True,Non-User,1,Excellent,624695,False,2025-04-02,Active
RTL_000081,Elizabeth's Ventures,Elizabeth Balogun,Male,59,08035685574,elizabeth.balogun@yahoo.com,Kiosk,Others,Peri-Urban,9.024299,8.487252,15,181,1,True,Regular User,11,Fair,319230,False,2024-12-07,Active
RTL_000082,Simon's Mart,Simon Ojo,Female,50,08131351823,simon.ojo@gmail.com,Kiosk,Lagos,Urban,6.478094,3.409554,12,148,2,False,Heavy User,34,Good,318760,False,2024-11-23,Active
RTL_000083,Paul's Provisions,Paul Abiola,Male,23,08149894134,paul.abiola@gmail.com,Provision Store,Kano,Urban,11.993795,8.156209,3,43,1,True,Heavy User,37,Excellent,557661,False,2024-08-17,Active
RTL_000084,Andrew's Mart,Andrew Adeyemi,Male,45,08104082400,andrew.adeyemi@outlook.com,Mini Mart,Kaduna,Peri-Urban,10.963149,7.824319,9,108,2,False,Heavy User,39,Good,285488,False,2024-12-13,Active
RTL_000085,Mary's Mart,Mary Adeyemi,Female,60,08112710947,mary.adeyemi@yahoo.com,Kiosk,Rivers,Rural,4.398109,7.374314,2,29,1,False,Light User,4,Fair,346713,False,2024-09-01,Active
RTL_000086,Ruth's Provisions,Ruth Oshodi,Male,29,08162047116,ruth.oshodi@yahoo.com,Market Stall,Oyo,Peri-Urban,7.962944,3.728836,9,119,2,False,Light User,9,High Risk,66163,True,2024-12-07,Active
RTL_000087,Samuel's Store,Samuel Ibrahim,Female,44,08050229413,samuel.ibrahim@gmail.com,Kiosk,Oyo,Peri-Urban,8.08159,3.51163,12,152,2,True,Non-User,1,Good,320316,False,2024-11-24,Active
RTL_000088,Joshua's Ventures,Joshua Olawale,Female,24,08156999386,joshua.olawale@yahoo.com,Superette,Rivers,Peri-Urban,4.544055,7.546134,4,50,3,True,Heavy User,20,Fair,311099,False,2024-09-01,Active
RTL_000089,Benjamin's Provisions,Benjamin Adetokunbo,Male,53,08149649909,benjamin.adetokunbo@outlook.com,Kiosk,Kano,Urban,11.873239,9.07965,9,111,1,True,Regular User,11,Moderate Risk,174677,False,2024-09-11,Active
RTL_000090,Juliet's Store,Juliet Okafor,Male,29,08153341232,juliet.okafor@outlook.com,Kiosk,Lagos,Peri-Urban,6.65596,3.612313,4,54,1,False,Regular User,14,Excellent,464324,False,2025-05-23,Active
RTL_000091,Faith's Store,Faith Olawale,Female,49,08100679740,faith.olawale@gmail.com,Kiosk,Rivers,Urban,4.908551,6.713324,2,26,1,True,Light User,6,Excellent,632750,False,2024-09-19,Active
RTL_000092,Ruth's Mart,Ruth Obasanjo,Female,64,08114713493,ruth.obasanjo@yahoo.com,Kiosk,Rivers,Urban,5.144483,6.980688,12,144,1,True,Regular User,14,Excellent,582958,False,2024-12-11,Active
RTL_000093,Mark's Store,Mark Abiola,Male,23,08033242102,mark.abiola@yahoo.com,Kiosk,Oyo,Rural,7.555841,3.54192,3,40,2,True,Heavy User,25,Good,326260,False,2024-10-31,Active
RTL_000094,Benjamin's Ventures,Benjamin Balogun,Female,46,08119471746,benjamin.balogun@yahoo.com,Kiosk,Kaduna,Urban,10.490397,7.602468,18,224,1,True,Regular User,16,Excellent,479141,False,2024-07-28,Active
RTL_000095,James's Ventures,James Uche,Female,50,08037719065,james.uche@outlook.com,Mini Mart,Edo,Peri-Urban,5.997382,5.292049,6,76,5,True,Regular User,16,Excellent,546649,False,2025-03-11,Active
RTL_000096,Mary's Mart,Mary Olawale,Male,52,08031399049,mary.olawale@gmail.com,Provision Store,FCT,Urban,9.37201,7.817278,16,196,2,True,Regular User,11,Excellent,503409,False,2024-12-23,Active
RTL_000097,Blessing's Shop,Blessing Oyekan,Female,59,07068742967,blessing.oyekan@gmail.com,Market Stall,Anambra,Peri-Urban,6.287916,7.298049,14,171,1,False,Light User,3,Excellent,645014,False,2024-07-29,Active
RTL_000098,David's Provisions,David Akinwale,Female,40,08166551256,david.akinwale@outlook.com,Provision Store,Oyo,Urban,7.980209,4.039832,1,12,2,True,Heavy User,30,Moderate Risk,75537,False,2024-10-11,Active
RTL_000099,Gloria's Provisions,Gloria Balogun,Female,58,08146807154,gloria.balogun@yahoo.com,Kiosk,Rivers,Urban,4.656848,6.929996,15,191,1,True,Regular User,11,Good,408059,False,2025-06-12,Active
RTL_000100,Joy's Store,Joy Olawale,Male,43,08156808760,joy.olawale@gmail.com,Market Stall,Delta,Urban,6.107335,5.468267,19,229,1,True,Regular User,12,Excellent,521999,False,2025-03-19,Active
RTL_000101,Patience's Ventures,Patience Uche,Female,34,08169770348,patience.uche@gmail.com,Kiosk,Kano,Urban,11.683349,8.773118,7,91,1,True,Non-User,1,Good,357971,False,2024-10-13,Active
RTL_000102,Esther's Mart,Esther Akinwale,Female,47,07067109324,esther.akinwale@outlook.com,Provision Store,Lagos,Urban,6.662385,3.394375,9,117,1,True,Non-User,1,Fair,269503,False,2025-05-15,Active
RTL_000103,Faith's Store,Faith Ibrahim,Female,54,08036131712,faith.ibrahim@yahoo.com,Provision Store,Ogun,Urban,7.07575,2.942535,23,277,1,True,Light User,3,Excellent,679158,False,2025-02-04,Active
RTL_000104,Comfort's Mart,Comfort Uche,Male,46,08034677378,comfort.uche@gmail.com,Provision Store,Oyo,Peri-Urban,7.581947,3.820906,2,26,2,False,Regular User,16,Excellent,526888,False,2024-11-04,Active
RTL_000105,James's Provisions,James Balogun,Male,58,08139821465,james.balogun@outlook.com,Kiosk,Oyo,Urban,8.255525,4.202623,1,15,1,True,Heavy User,28,Excellent,516492,False,2025-05-15,Active
RTL_000106,Joseph's Mart,Joseph Akinwale,Female,24,09050449972,joseph.akinwale@yahoo.com,Kiosk,Oyo,Urban,7.942812,4.110132,4,53,1,True,Regular User,12,Fair,159686,False,2024-09-20,Active
RTL_000107,Nathaniel's Ventures,Nathaniel Uche,Female,51,07065588675,nathaniel.uche@gmail.com,Provision Store,Others,Peri-Urban,9.336838,8.345778,23,287,1,False,Light User,8,Excellent,498540,False,2024-09-27,Active
RTL_000108,Grace's Shop,Grace Abiola,Male,39,08056360576,grace.abiola@yahoo.com,Provision Store,Edo,Peri-Urban,6.677033,5.624658,8,102,3,False,Regular User,13,Good,269169,False,2025-02-11,Active
RTL_000109,Gloria's Shop,Gloria Oshodi,Female,44,07060289517,gloria.oshodi@gmail.com,Mini Mart,Kano,Urban,11.741255,8.601724,4,49,3,False,Regular User,15,Excellent,602043,False,2025-03-24,Active
RTL_000110,Samuel's Ventures,Samuel Olawale,Female,24,09077026217,samuel.olawale@yahoo.com,Mini Mart,Rivers,Peri-Urban,4.989904,7.082281,4,54,3,True,Regular User,11,Good,437226,False,2025-02-23,Active
RTL_000111,Nathaniel's Mart,Nathaniel Adeyemi,Female,22,08056158657,nathaniel.adeyemi@outlook.com,Provision Store,Edo,Peri-Urban,6.314354,5.417428,2,29,3,False,Non-User,1,Excellent,450200,False,2025-02-12,Active
RTL_000112,Grace's Store,Grace Eze,Female,34,08051343161,grace.eze@outlook.com,Provision Store,Lagos,Rural,6.57393,3.845022,14,171,2,True,Regular User,11,Good,484555,False,2025-02-02,Active
RTL_000113,Gabriel's Store,Gabriel Ekwueme,Male,30,07062400504,gabriel.ekwueme@yahoo.com,Provision Store,Kano,Urban,12.497066,8.149781,10,122,1,True,Light User,8,Excellent,537478,False,2025-04-14,Active
RTL_000114,Comfort's Mart,Comfort Okonkwo,Male,59,07032386922,comfort.okonkwo@gmail.com,Provision Store,Lagos,Urban,6.245203,3.052953,7,85,1,False,Regular User,12,Fair,246774,False,2025-01-29,Active
RTL_000115,David's Store,David Eze,Male,36,08056937923,david.eze@yahoo.com,Kiosk,FCT,Urban,8.992654,7.379944,16,201,1,True,Regular User,14,Good,309353,False,2024-11-03,Active
RTL_000116,Patience's Mart,Patience Obasanjo,Female,47,07064074821,patience.obasanjo@yahoo.com,Provision Store,Lagos,Urban,6.290251,3.52529,4,49,1,False,Regular User,18,Good,278380,False,2025-05-22,Active
RTL_000117,Deborah's Mart,Deborah Eze,Male,31,08054647436,deborah.eze@yahoo.com,Kiosk,Ogun,Urban,7.096335,3.284603,11,141,1,False,Light User,9,Fair,309674,False,2024-12-01,Active
RTL_000118,Cornelius's Store,Cornelius Nnamani,Female,34,08136959440,cornelius.nnamani@outlook.com,Provision Store,Rivers,Urban,5.053034,7.062022,8,104,2,True,Light User,5,Good,351015,False,2025-06-16,Active
RTL_000119,Joy's Provisions,Joy Abiola,Female,64,08140909743,joy.abiola@outlook.com,Kiosk,Lagos,Urban,6.799054,3.540571,5,64,1,False,Regular User,15,High Risk,48270,False,2024-11-25,Active
RTL_000120,Joseph's Mart,Joseph Nnamani,Female,62,08133942104,joseph.nnamani@yahoo.com,Kiosk,Others,Peri-Urban,8.592428,8.430713,9,116,1,True,Non-User,0,Moderate Risk,187050,False,2024-10-18,Active
RTL_000121,Faith's Store,Faith Eze,Male,30,08055214562,faith.eze@gmail.com,Market Stall,Ogun,Peri-Urban,6.536296,3.185268,8,106,1,False,Heavy User,39,Good,383533,False,2024-12-02,Active
RTL_000122,Gabriel's Shop,Gabriel Obi,Female,39,08158588424,gabriel.obi@yahoo.com,Kiosk,Others,Peri-Urban,8.898922,9.054569,19,232,2,False,Regular User,16,Fair,295643,False,2024-11-21,Active
RTL_000123,Emmanuel's Mart,Emmanuel Obi,Male,48,08115171236,emmanuel.obi@outlook.com,Mini Mart,Edo,Urban,5.999815,5.235429,18,218,2,True,Regular User,14,Excellent,467260,False,2024-07-15,Active
RTL_000124,Sarah's Mart,Sarah Okafor,Female,63,08066048175,sarah.okafor@outlook.com,Kiosk,Kaduna,Rural,10.646791,7.677622,16,199,1,False,Non-User,1,Good,444018,False,2024-11-21,Active
